====================================================================================================
REASONING BY CONFIDENCE BIN — per (model, dataset) × disjoint 10% bins within top-50% pool
Rows: 270  |  Columns: ['model', 'dataset', 'bin_label', 'bin_start_pct', 'bin_end_pct', 'total_traces_in_bin', 'sampled_traces', 'random_seed', 'mean_reasoning_score', 'std_reasoning_score', 'stderr_reasoning_score', 'ci_lower', 'ci_upper', 'bootstrap_ci_lower', 'bootstrap_ci_upper', 'mean_accuracy_population']
====================================================================================================
       model       dataset bin_label  bin_start_pct  bin_end_pct  total_traces_in_bin  sampled_traces  random_seed  mean_reasoning_score  std_reasoning_score  stderr_reasoning_score  ci_lower  ci_upper  bootstrap_ci_lower  bootstrap_ci_upper  mean_accuracy_population
    Gemma-7B          AQuA      0-10              0           10                  407              50    509421860                0.2225              0.14788               0.0209135  0.180473  0.264527             0.18625               0.265                  0.135135
    Gemma-7B          AQuA     10-20             10           20                  406              50   1746922565                 0.445             0.306613               0.0433616  0.357862  0.532138               0.365            0.531281                  0.256158
    Gemma-7B          AQuA     20-30             20           30                  407              50    304946142                0.3925             0.230087               0.0325392   0.32711   0.45789               0.335               0.455                   0.31941
    Gemma-7B          AQuA     30-40             30           40                  406              50    543772307                  0.45             0.274907               0.0388778  0.371872  0.528128             0.37875            0.525031                  0.320197
    Gemma-7B          AQuA     40-50             40           50                  406              50   1111202681                0.4425              0.23752               0.0335904  0.374998  0.510002            0.379969               0.505                  0.334975
    Gemma-7B CommonsenseQA      0-10              0           10                 1954              50    848670091               0.13375             0.224819               0.0317942 0.0698571  0.197643              0.0775             0.19625                  0.155067
    Gemma-7B CommonsenseQA     10-20             10           20                 1954              50    522608437                 0.215             0.296708               0.0419609  0.130676  0.299324             0.14125            0.297531                   0.21085
    Gemma-7B CommonsenseQA     20-30             20           30                 1953              50    970427035                 0.395             0.313758                0.044372  0.305831  0.484169             0.31375             0.48625                  0.224782
    Gemma-7B CommonsenseQA     30-40             30           40                 1954              50   1644175507                  0.23             0.154874               0.0219025  0.185985  0.274015              0.1875             0.27375                  0.114125
    Gemma-7B CommonsenseQA     40-50             40           50                 1953              50   1668332301                0.2575             0.207343               0.0293227  0.198574  0.316426            0.206219             0.31625                  0.130568
    Gemma-7B          GPQA      0-10              0           10                  717              50    741531290               0.30875             0.125261               0.0177146  0.273151  0.344349            0.272469             0.34375                  0.114365
    Gemma-7B          GPQA     10-20             10           20                  717              50    101360839                  0.34            0.0979379               0.0138505  0.312166  0.367834             0.31125             0.36625                 0.0446304
    Gemma-7B          GPQA     20-30             20           30                  717              50   1200690797                0.3575             0.112967               0.0159759  0.325395  0.389605              0.3275              0.3875                  0.111576
    Gemma-7B          GPQA     30-40             30           40                  717              50   1748102661                  0.39             0.198271               0.0280397  0.333652  0.446348             0.33625             0.44875                  0.224547
    Gemma-7B          GPQA     40-50             40           50                  716              50   1408852870               0.37375             0.180123               0.0254732   0.32256   0.42494             0.32875              0.4275                  0.268156
    Gemma-7B         GSM8K      0-10              0           10                 2111              50      5825044                0.4125             0.365963               0.0517549  0.308495  0.516505             0.31375               0.515                  0.244434
    Gemma-7B         GSM8K     10-20             10           20                 2110              50    790017063               0.59125             0.298062               0.0421523  0.506542  0.675958              0.5125              0.6775                  0.417062
    Gemma-7B         GSM8K     20-30             20           30                 2111              50     61147075               0.60375             0.316331                0.044736   0.51385   0.69365              0.5175                 0.7                  0.408337
    Gemma-7B         GSM8K     30-40             30           40                 2110              50   1605661182               0.62875             0.305511               0.0432058  0.541925  0.715575            0.547469             0.71125                  0.390521
    Gemma-7B         GSM8K     40-50             40           50                 2110              50    445674339                 0.555             0.317596               0.0449149   0.46474   0.64526              0.4725               0.645                  0.369194
    Gemma-7B       MATH500      0-10              0           10                  800              50    491874735               0.18875              0.14424               0.0203986  0.147757  0.229743             0.14875             0.22625                      0.04
    Gemma-7B       MATH500     10-20             10           20                  800              50     46441846                0.3125             0.176325               0.0249361  0.262389  0.362611            0.269969            0.366281                       0.1
    Gemma-7B       MATH500     20-30             20           30                  800              50    459418925               0.36875             0.155803               0.0220339  0.324471  0.413029             0.32875              0.4125                   0.13375
    Gemma-7B       MATH500     30-40             30           40                  800              50   1777243291               0.43625             0.273887               0.0387335  0.358412  0.514088            0.362469             0.50875                    0.1625
    Gemma-7B       MATH500     40-50             40           50                  800              50    629024412                0.4125             0.239579               0.0338815  0.344412  0.480588             0.34875             0.48375                   0.17375
    Gemma-7B         SVAMP      0-10              0           10                 1600              50    718424129               0.31125             0.328176               0.0464111  0.217983  0.404517            0.224969            0.401281                  0.219375
    Gemma-7B         SVAMP     10-20             10           20                 1600              50    498271871                0.5525              0.33654               0.0475939  0.456856  0.648144              0.4625            0.646281                  0.420625
    Gemma-7B         SVAMP     20-30             20           30                 1600              50   1356503430               0.62625             0.329872               0.0466509  0.532501  0.719999             0.54125            0.713781                   0.44375
    Gemma-7B         SVAMP     30-40             30           40                 1600              50    547171902                  0.59             0.358293               0.0506703  0.488174  0.691826                0.49             0.68875                     0.465
    Gemma-7B         SVAMP     40-50             40           50                 1600              50   1675042642               0.47875             0.305302               0.0431763  0.391984  0.565516            0.397469             0.56625                  0.461875
