benchmark,model_a,model_b,regime_a,regime_b,acc_gap_pp,acc_gap_raw,frs_gap,bon_gap,frs_gt_acc_pp,sign_frs,sign_acc,sign_bon,frs1,frs2,acc1,acc2,bon1,bon2
aqua,Gemma-7B,Qwen2.5-7B,inverted,flat,33.294756611534254,0.33294756611534254,60.87220071595072,31.68785200917032,True,-1.0,-1.0,-1.0,21.4720695970696,82.34427031302032,0.355631398350669,0.6885789644660115,37.32976099170599,69.01761300087631
aqua,Gemma-7B,Qwen2.5-Math,inverted,inverted,18.69088425418091,0.18690884254180912,52.243589743589745,40.210219415167906,True,-1.0,-1.0,-1.0,21.4720695970696,73.71565934065934,0.355631398350669,0.5425402408924781,37.32976099170599,77.5399804068739
aqua,Gemma-7B,Qwen3-4B,inverted,reliable,10.068121904655092,0.10068121904655092,61.08537296037296,38.40824333656108,True,-1.0,-1.0,-1.0,21.4720695970696,82.55744255744256,0.355631398350669,0.4563126173972199,37.32976099170599,75.73800432826707
aqua,LLaMA-3.1-8B,Phi-4,reliable,flat,13.218093381080726,0.13218093381080726,24.723557692307693,30.218756461614852,True,-1.0,-1.0,-1.0,58.605769230769226,83.32932692307692,0.4063739430627001,0.5385548768735073,45.37923487789816,75.59799133951302
aqua,LLaMA-3.1-8B,Phi-4-Reas.,reliable,inverted,27.489472783875417,0.2748947278387542,15.701381951381961,40.72227786848263,False,-1.0,-1.0,-1.0,58.605769230769226,74.30715118215119,0.4063739430627001,0.6812686709014543,45.37923487789816,86.10151274638079
aqua,LLaMA-3.1-8B,Qwen2.5-7B,reliable,flat,28.220502140331146,0.28220502140331144,23.73850108225109,23.638378122978146,False,-1.0,-1.0,-1.0,58.605769230769226,82.34427031302032,0.4063739430627001,0.6885789644660115,45.37923487789816,69.01761300087631
aqua,LLaMA-3.1-8B,Qwen2.5-Math,reliable,inverted,13.616629782977801,0.13616629782977802,15.109890109890117,32.16074552897573,True,-1.0,-1.0,-1.0,58.605769230769226,73.71565934065934,0.4063739430627001,0.5425402408924781,45.37923487789816,77.5399804068739
aqua,LLaMA-3.1-8B,Qwen3-4B,reliable,reliable,4.993867433451982,0.04993867433451982,23.95167332667333,30.358769450368904,True,-1.0,-1.0,-1.0,58.605769230769226,82.55744255744256,0.4063739430627001,0.4563126173972199,45.37923487789816,75.73800432826707
aqua,Phi-4,Phi-4-Reas.,flat,inverted,14.271379402794693,0.14271379402794693,9.022175740925732,10.503521406867776,False,1.0,-1.0,-1.0,83.32932692307692,74.30715118215119,0.5385548768735073,0.6812686709014543,75.59799133951302,86.10151274638079
aqua,Phi-4,Qwen2.5-7B,flat,flat,15.002408759250418,0.15002408759250419,0.9850566100566027,6.580378338636706,False,1.0,-1.0,1.0,83.32932692307692,82.34427031302032,0.5385548768735073,0.6885789644660115,75.59799133951302,69.01761300087631
aqua,Phi-4,Qwen2.5-Math,flat,inverted,0.39853640189707606,0.003985364018970761,9.613667582417577,1.941989067360879,True,1.0,-1.0,-1.0,83.32932692307692,73.71565934065934,0.5385548768735073,0.5425402408924781,75.59799133951302,77.5399804068739
aqua,Phi-4,Qwen3-4B,flat,reliable,8.224225947628744,0.08224225947628744,0.7718843656343637,0.14001298875405155,False,1.0,1.0,-1.0,83.32932692307692,82.55744255744256,0.5385548768735073,0.4563126173972199,75.59799133951302,75.73800432826707
aqua,Phi-4-Reas.,Qwen2.5-7B,inverted,flat,0.7310293564557258,0.0073102935645572575,8.03711913086913,17.083899745504482,True,-1.0,-1.0,1.0,74.30715118215119,82.34427031302032,0.6812686709014543,0.6885789644660115,86.10151274638079,69.01761300087631
aqua,Phi-4-Reas.,Qwen2.5-Math,inverted,inverted,13.872843000897618,0.13872843000897617,0.5914918414918446,8.561532339506897,False,1.0,1.0,1.0,74.30715118215119,73.71565934065934,0.6812686709014543,0.5425402408924781,86.10151274638079,77.5399804068739
aqua,Phi-4-Reas.,Qwen3-4B,inverted,reliable,22.495605350423435,0.22495605350423437,8.250291375291368,10.363508418113724,False,-1.0,1.0,1.0,74.30715118215119,82.55744255744256,0.6812686709014543,0.4563126173972199,86.10151274638079,75.73800432826707
aqua,Qwen2.5-7B,Qwen2.5-Math,flat,inverted,14.603872357353342,0.14603872357353342,8.628610972360974,8.522367405997585,False,1.0,1.0,-1.0,82.34427031302032,73.71565934065934,0.6885789644660115,0.5425402408924781,69.01761300087631,77.5399804068739
aqua,Qwen2.5-7B,Qwen3-4B,flat,reliable,23.226634706879164,0.23226634706879162,0.21317224442223903,6.720391327390757,False,-1.0,1.0,-1.0,82.34427031302032,82.55744255744256,0.6885789644660115,0.4563126173972199,69.01761300087631,75.73800432826707
aqua,Qwen2.5-Math,Qwen3-4B,inverted,reliable,8.62276234952582,0.0862276234952582,8.841783216783213,1.8019760786068275,True,-1.0,1.0,1.0,73.71565934065934,82.55744255744256,0.5425402408924781,0.4563126173972199,77.5399804068739,75.73800432826707
commonsenseqa,DS-R1-1.5B,DS-R1-7B,reliable,reliable,10.593726016532878,0.10593726016532878,18.800595238095227,21.982593562423013,True,-1.0,-1.0,-1.0,55.32852564102565,74.12912087912088,0.4190442166935878,0.5249814768589166,55.83720096970254,77.81979453212556
commonsenseqa,DS-R1-1.5B,Gemma-7B,reliable,inverted,22.687433499320772,0.22687433499320772,43.7809065934066,31.753824226042234,True,1.0,1.0,1.0,55.32852564102565,11.547619047619047,0.4190442166935878,0.1921698817003801,55.83720096970254,24.08337674366031
commonsenseqa,DS-R1-1.5B,LLaMA-3.1-8B,reliable,reliable,26.983813637943797,0.269838136379438,4.329326923076934,1.78733774107274,False,1.0,-1.0,1.0,55.32852564102565,50.999198717948715,0.4190442166935878,0.6888823530730258,55.83720096970254,54.0498632286298
commonsenseqa,DS-R1-1.5B,Phi-4,reliable,flat,15.502653519346499,0.155026535193465,30.900869963369956,13.104692792693633,True,-1.0,-1.0,-1.0,55.32852564102565,86.2293956043956,0.4190442166935878,0.5740707518870528,55.83720096970254,68.94189376239618
commonsenseqa,DS-R1-1.5B,Phi-4-Reas.,reliable,inverted,39.91300034065943,0.3991300034065943,37.322365134865144,4.795570526762766,False,1.0,-1.0,-1.0,55.32852564102565,18.006160506160505,0.4190442166935878,0.8181742201001821,55.83720096970254,60.63277149646531
commonsenseqa,DS-R1-1.5B,Qwen2.5-7B,reliable,flat,44.81932679884865,0.44819326798848647,0.665324259074275,32.163525192579975,False,1.0,-1.0,-1.0,55.32852564102565,54.663201381951374,0.4190442166935878,0.8672374846820743,55.83720096970254,88.00072616228252
commonsenseqa,DS-R1-1.5B,Qwen2.5-Math,reliable,inverted,13.971395227363004,0.13971395227363004,14.448260073260059,16.606856089085177,True,-1.0,-1.0,-1.0,55.32852564102565,69.77678571428571,0.4190442166935878,0.5587581689672179,55.83720096970254,72.44405705878772
commonsenseqa,DS-R1-1.5B,Qwen3-4B,reliable,reliable,29.095206235907987,0.2909520623590799,20.882659007659,17.150256884703104,False,-1.0,-1.0,-1.0,55.32852564102565,76.21118464868465,0.4190442166935878,0.7099962790526677,55.83720096970254,72.98745785440565
