held_out_benchmark,train_metric,test_target,spearman_r,spearman_p,pearson_r,pearson_p,n_models
GPQA,unfiltered_pct,pass1_pct,0.19999999999999998,0.6059012741795533,0.3698293575872105,0.32726406085244275,9
CSQA,unfiltered_pct,pass1_pct,-0.15,0.7000942309691419,0.0956419319690504,0.8066389796679538,9
GSM8K,unfiltered_pct,trace0_pct,0.38333333333333336,0.30849527238037144,0.8369416337060757,0.004895579899716646,9
MATH500,unfiltered_pct,trace0_pct,0.3666666666666667,0.33173980143301496,0.8330121591335989,0.005299532319264606,9
SVAMP,unfiltered_pct,trace0_pct,0.5042194840896107,0.1663127256715028,0.5389501683842606,0.1343227140214649,9
AQuA,unfiltered_pct,trace0_pct,0.65,0.05807305801714864,0.8593551142919782,0.002985673832179875,9
GPQA,unfiltered_pct,trace0_pct,0.26051340011296553,0.4983922968952549,0.3885235779384302,0.30143020955109695,9
CSQA,unfiltered_pct,trace0_pct,0.33333333333333337,0.38071318167686347,0.715561454855795,0.030191029131668535,9
GSM8K,unfiltered_pct,unfiltered_pct,0.75,0.019942126131992522,0.9099862479249203,0.000659152758022277,9
MATH500,unfiltered_pct,unfiltered_pct,0.7166666666666667,0.029818035695845287,0.896550535555898,0.0010582246529641732,9
SVAMP,unfiltered_pct,unfiltered_pct,0.7666666666666667,0.01594401657897401,0.9318713857257586,0.0002541370121199598,9
AQuA,unfiltered_pct,unfiltered_pct,0.8499999999999999,0.003704777327585812,0.933599236991301,0.00023268466160826276,9
GPQA,unfiltered_pct,unfiltered_pct,0.6333333333333333,0.06708578689234565,0.8176093008117605,0.007102562226044699,9
CSQA,unfiltered_pct,unfiltered_pct,0.5333333333333333,0.13922686754397814,0.7524858171764711,0.019307807249018812,9
