model,dataset,top_k_pct,accuracy,n_traces,n_total
Qwen2.5-7B,GPQA,50,35.27,3584,7168
Qwen2.5-7B,GSM8K,10,62.62,2111,21104
Qwen2.5-7B,GSM8K,20,61.48,4221,21104
Qwen2.5-7B,GSM8K,30,61.24,6331,21104
Qwen2.5-7B,GSM8K,40,60.89,8442,21104
Qwen2.5-7B,GSM8K,50,64.6,10552,21104
Qwen2.5-7B,MATH500,10,53.5,800,8000
Qwen2.5-7B,MATH500,20,51.0,1600,8000
Qwen2.5-7B,MATH500,30,49.54,2400,8000
Qwen2.5-7B,MATH500,40,48.03,3200,8000
Qwen2.5-7B,MATH500,50,46.18,4000,8000
Qwen2.5-7B,SVAMP,10,62.25,1600,16000
Qwen2.5-7B,SVAMP,20,61.72,3200,16000
Qwen2.5-7B,SVAMP,30,62.29,4800,16000
Qwen2.5-7B,SVAMP,40,62.25,6400,16000
Qwen2.5-7B,SVAMP,50,66.95,8000,16000
Qwen2.5-Math,AQuA,10,47.91,407,4064
Qwen2.5-Math,AQuA,20,48.95,813,4064
Qwen2.5-Math,AQuA,30,50.45,1219,4064
Qwen2.5-Math,AQuA,40,51.41,1626,4064
Qwen2.5-Math,AQuA,50,51.92,2032,4064
Qwen2.5-Math,CommonsenseQA,10,50.72,1954,19536
Qwen2.5-Math,CommonsenseQA,20,50.38,3908,19536
Qwen2.5-Math,CommonsenseQA,30,50.2,5861,19536
Qwen2.5-Math,CommonsenseQA,40,50.53,7815,19536
Qwen2.5-Math,CommonsenseQA,50,50.51,9768,19536
Qwen2.5-Math,GPQA,10,39.19,717,7168
Qwen2.5-Math,GPQA,20,37.03,1434,7168
Qwen2.5-Math,GPQA,30,35.66,2151,7168
Qwen2.5-Math,GPQA,40,34.67,2867,7168
Qwen2.5-Math,GPQA,50,33.62,3584,7168
Qwen2.5-Math,GSM8K,10,55.42,2111,21104
Qwen2.5-Math,GSM8K,20,61.38,4221,21104
Qwen2.5-Math,GSM8K,30,64.38,6331,21104
Qwen2.5-Math,GSM8K,40,66.32,8442,21104
Qwen2.5-Math,GSM8K,50,67.87,10552,21104
Qwen2.5-Math,MATH500,10,61.0,800,8000
Qwen2.5-Math,MATH500,20,62.56,1600,8000
Qwen2.5-Math,MATH500,30,63.38,2400,8000
Qwen2.5-Math,MATH500,40,64.53,3200,8000
Qwen2.5-Math,MATH500,50,65.3,4000,8000
Qwen2.5-Math,SVAMP,10,44.75,1600,16000
Qwen2.5-Math,SVAMP,20,57.41,3200,16000
Qwen2.5-Math,SVAMP,30,63.38,4800,16000
Qwen2.5-Math,SVAMP,40,67.72,6400,16000
Qwen2.5-Math,SVAMP,50,70.44,8000,16000
Qwen3-4B,AQuA,10,53.32,407,4064
Qwen3-4B,AQuA,20,53.38,813,4064
Qwen3-4B,AQuA,30,51.76,1219,4064
Qwen3-4B,AQuA,40,51.66,1626,4064
