split,seed,model,benchmark,regime,frs_cal,acc_cal,bon_reasoning,bon_accuracy,random_reasoning,random_accuracy,lift
4,46,Qwen2.5-7B,aqua,flat,77.88461538461539,0.7154471544715447,69.14556962025317,0.7215189873417721,66.31065400843882,0.6645569620253164,2.8349156118143526
4,46,Qwen2.5-7B,commonsenseqa,flat,50.0,0.8181818181818182,91.39851485148515,0.9306930693069307,91.08910891089108,0.9257425742574258,0.30940594059406124
4,46,Qwen2.5-7B,gpqa,flat,55.208333333333336,0.3277310924369748,51.795212765957444,0.35106382978723405,51.712101063829785,0.35904255319148937,0.08311170212765973
4,46,Qwen2.5-7B,gsm8k,flat,69.64285714285714,0.664179104477612,63.70192307692308,0.6346153846153846,63.812099358974365,0.6394230769230769,-0.1101762820512846
4,46,Qwen2.5-7B,math500,flat,71.15384615384616,0.4596774193548387,68.0889423076923,0.5,69.0204326923077,0.5256410256410257,-0.9314903846153868
4,46,Qwen2.5-7B,svamp,flat,67.1875,0.7166666666666667,62.049549549549546,0.6756756756756757,63.00675675675676,0.6906906906906906,-0.9572072072072118
4,46,Qwen2.5-Math,aqua,inverted,67.70833333333333,0.5175438596491229,78.20121951219512,0.5609756097560976,76.60060975609755,0.5193089430894309,1.600609756097569
4,46,Qwen2.5-Math,commonsenseqa,inverted,63.46153846153846,0.5537190082644629,72.78225806451613,0.5564516129032258,72.3538306451613,0.5524193548387096,0.42842741935483275
4,46,Qwen2.5-Math,gpqa,inverted,59.13461538461539,0.32231404958677684,53.54381443298969,0.3402061855670103,53.876718213058425,0.34879725085910646,-0.3329037800687331
4,46,Qwen2.5-Math,gsm8k,inverted,96.875,0.6833333333333333,89.30785123966942,0.7024793388429752,89.41976584022039,0.7066115702479339,-0.1119146005509748
4,46,Qwen2.5-Math,math500,inverted,75.0,0.6074766355140186,82.87259615384616,0.6634615384615384,83.93429487179489,0.6826923076923077,-1.0616987179487296
4,46,Qwen2.5-Math,svamp,inverted,62.01923076923077,0.736,82.85398230088495,0.672566371681416,83.21349557522124,0.6769911504424779,-0.3595132743362939
4,46,Qwen3-4B,aqua,reliable,85.26785714285714,0.4306569343065693,75.50675675675676,0.5405405405405406,75.11261261261261,0.5225225225225226,0.3941441441441498
4,46,Qwen3-4B,commonsenseqa,reliable,77.40384615384616,0.6904761904761905,72.51106194690266,0.6902654867256637,72.48340707964601,0.6858407079646017,0.027654867256643456
4,46,Qwen3-4B,gpqa,reliable,61.53846153846154,0.546875,54.14473684210526,0.5684210526315789,53.88157894736842,0.5631578947368421,0.2631578947368425
4,46,Qwen3-4B,gsm8k,reliable,82.14285714285714,0.8201438848920863,88.05147058823529,0.8333333333333334,87.92892156862744,0.8333333333333334,0.12254901960784537
4,46,Qwen3-4B,math500,reliable,61.93181818181818,0.3867924528301887,70.61298076923077,0.4423076923076923,70.73317307692308,0.453525641025641,-0.1201923076923066
4,46,Qwen3-4B,svamp,reliable,86.97916666666667,0.8151260504201681,89.26136363636364,0.9,89.17613636363636,0.8954545454545455,0.08522727272728048
5,47,DS-R1-1.5B,aqua,reliable,91.96428571428571,0.5639097744360902,73.28767123287672,0.5342465753424658,71.56820776255707,0.5237442922374429,1.7194634703196527
5,47,DS-R1-1.5B,commonsenseqa,reliable,45.3125,0.39166666666666666,58.86752136752137,0.46153846153846156,59.53525641025641,0.47863247863247865,-0.667735042735039
5,47,DS-R1-1.5B,gpqa,reliable,55.11363636363637,0.3090909090909091,53.90625,0.3541666666666667,53.03276909722223,0.3411458333333333,0.8734809027777715
5,47,DS-R1-1.5B,gsm8k,reliable,88.02083333333333,0.8728813559322034,87.2,0.848,86.925,0.84,0.2750000000000057
5,47,DS-R1-1.5B,math500,reliable,83.52272727272727,0.5794392523364486,78.33333333333333,0.6571428571428571,76.62698412698413,0.6285714285714286,1.706349206349202
5,47,DS-R1-1.5B,svamp,reliable,95.83333333333333,0.8803418803418803,90.70247933884298,0.9173553719008265,90.98657024793388,0.9214876033057852,-0.2840909090909065
5,47,DS-R1-7B,aqua,reliable,96.63461538461539,0.8515625,88.35227272727273,0.7727272727272727,87.58680555555554,0.7714646464646465,0.7654671717171908
5,47,DS-R1-7B,commonsenseqa,reliable,76.4423076923077,0.5284552845528455,77.30263157894737,0.5263157894736842,77.02850877192982,0.5219298245614035,0.2741228070175481
5,47,DS-R1-7B,gpqa,reliable,67.1875,0.3983050847457627,64.90885416666667,0.46875,64.72439236111111,0.501736111111111,0.18446180555555713
5,47,DS-R1-7B,gsm8k,reliable,95.67307692307692,0.9344262295081968,97.80405405405405,0.963963963963964,97.80405405405405,0.963963963963964,0.0
5,47,DS-R1-7B,math500,reliable,91.47727272727273,0.7523809523809524,89.17410714285714,0.7232142857142857,88.4672619047619,0.7202380952380952,0.7068452380952408
5,47,DS-R1-7B,svamp,reliable,100.0,0.9752066115702479,96.54017857142857,0.9732142857142857,96.37276785714286,0.9732142857142857,0.1674107142857082
5,47,Gemma-7B,aqua,inverted,21.354166666666668,0.35294117647058826,37.42732558139535,0.37209302325581395,38.94743217054263,0.3846899224806201,-1.5201065891472822
5,47,Gemma-7B,commonsenseqa,inverted,8.173076923076923,0.20155038759689922,24.184782608695652,0.16521739130434782,24.07608695652174,0.16521739130434782,0.10869565217391397
5,47,Gemma-7B,gpqa,inverted,28.125,0.14388489208633093,36.55523255813954,0.19767441860465115,36.07073643410853,0.19186046511627908,0.48449612403100417
5,47,Gemma-7B,gsm8k,inverted,31.73076923076923,0.4262295081967213,54.824561403508774,0.38596491228070173,54.19407894736842,0.37719298245614036,0.6304824561403564
5,47,Gemma-7B,math500,inverted,15.625,0.07017543859649122,36.776315789473685,0.14736842105263157,37.37938596491228,0.14210526315789473,-0.6030701754385959
5,47,Gemma-7B,svamp,inverted,22.395833333333332,0.4661016949152542,49.49186991869919,0.36585365853658536,50.863821138211385,0.3821138211382114,-1.371951219512198
5,47,LLaMA-3.1-8B,aqua,reliable,55.76923076923077,0.4098360655737705,45.256024096385545,0.42168674698795183,43.09111445783132,0.38654618473895574,2.164909638554228
5,47,LLaMA-3.1-8B,commonsenseqa,reliable,48.958333333333336,0.625,55.098684210526315,0.7105263157894737,55.098684210526315,0.7236842105263158,0.0
5,47,LLaMA-3.1-8B,gpqa,reliable,48.660714285714285,0.41304347826086957,49.734042553191486,0.39361702127659576,49.51241134751773,0.3847517730496454,0.22163120567375927
5,47,LLaMA-3.1-8B,gsm8k,reliable,83.85416666666667,0.7627118644067796,72.28483606557377,0.680327868852459,72.38729508196721,0.6762295081967213,-0.10245901639343913
5,47,LLaMA-3.1-8B,math500,reliable,52.604166666666664,0.3416666666666667,48.37740384615385,0.28846153846153844,49.29887820512821,0.30128205128205127,-0.9214743589743648
5,47,LLaMA-3.1-8B,svamp,reliable,81.73076923076923,0.8095238095238095,78.65990990990991,0.8108108108108109,78.03115615615614,0.7942942942942943,0.6287537537537702
5,47,Phi-4,aqua,flat,80.72916666666667,0.5217391304347826,76.34943181818181,0.5795454545454546,75.76941287878789,0.5520833333333334,0.5800189393939235
