benchmark,tie_metric,tolerance_pp,model_a,model_b,predictor,correct_direction,abs_tie_gap
GSM8K,pass16_pct,5.0,DS-R1-1.5B,Phi-4,high_conf_accuracy_pct,False,2.198635329795323
GSM8K,pass16_pct,3.0,DS-R1-1.5B,Qwen2.5-Math,frs_pct,False,2.5777103866565767
GSM8K,pass16_pct,3.0,DS-R1-1.5B,Qwen2.5-Math,pass1_pct,True,2.5777103866565767
GSM8K,pass16_pct,3.0,DS-R1-1.5B,Qwen2.5-Math,pass16_pct,True,2.5777103866565767
GSM8K,pass16_pct,3.0,DS-R1-1.5B,Qwen2.5-Math,high_conf_accuracy_pct,False,2.5777103866565767
GSM8K,pass16_pct,5.0,DS-R1-1.5B,Qwen2.5-Math,frs_pct,False,2.5777103866565767
GSM8K,pass16_pct,5.0,DS-R1-1.5B,Qwen2.5-Math,pass1_pct,True,2.5777103866565767
GSM8K,pass16_pct,5.0,DS-R1-1.5B,Qwen2.5-Math,pass16_pct,True,2.5777103866565767
GSM8K,pass16_pct,5.0,DS-R1-1.5B,Qwen2.5-Math,high_conf_accuracy_pct,False,2.5777103866565767
GSM8K,pass16_pct,3.0,DS-R1-1.5B,Phi-4-Reas.,frs_pct,False,2.5018953752843203
GSM8K,pass16_pct,3.0,DS-R1-1.5B,Phi-4-Reas.,pass1_pct,True,2.5018953752843203
GSM8K,pass16_pct,3.0,DS-R1-1.5B,Phi-4-Reas.,pass16_pct,True,2.5018953752843203
GSM8K,pass16_pct,3.0,DS-R1-1.5B,Phi-4-Reas.,high_conf_accuracy_pct,True,2.5018953752843203
GSM8K,pass16_pct,5.0,DS-R1-1.5B,Phi-4-Reas.,frs_pct,False,2.5018953752843203
GSM8K,pass16_pct,5.0,DS-R1-1.5B,Phi-4-Reas.,pass1_pct,True,2.5018953752843203
GSM8K,pass16_pct,5.0,DS-R1-1.5B,Phi-4-Reas.,pass16_pct,True,2.5018953752843203
GSM8K,pass16_pct,5.0,DS-R1-1.5B,Phi-4-Reas.,high_conf_accuracy_pct,True,2.5018953752843203
