benchmark,model_a,model_b,pass1_a,pass1_b,frs_a,frs_b,pass1_gap_pp,frs_gap_pp,trace0_a,trace0_b,trace0_gap_pp,unfiltered_a,unfiltered_b,unfiltered_gap_pp,frs_gt_trace0,frs_gt_unfiltered
CSQA,Qwen2.5-Math,Gemma-7B,45.9,27.3,70.6,13.4,18.599999999999998,57.199999999999996,64.125,39.125,25.0,65.5,27.0625,38.4375,True,True
CSQA,Phi-4-Reas.,Qwen2.5-7B,36.9,81.8,33.4,70.1,44.9,36.699999999999996,72.25,74.375,2.125,65.625,88.0,22.375,True,True
CSQA,Phi-4-Reas.,LLaMA-3.1-8B,36.9,66.3,33.4,55.0,29.4,21.6,72.25,65.5,6.75,65.625,58.1875,7.4375,True,True
CSQA,Phi-4-Reas.,Gemma-7B,36.9,27.3,33.4,13.4,9.599999999999998,20.0,72.25,39.125,33.125,65.625,27.0625,38.5625,False,False
CSQA,Qwen2.5-7B,LLaMA-3.1-8B,81.8,66.3,70.1,55.0,15.5,15.099999999999994,74.375,65.5,8.875,88.0,58.1875,29.8125,True,False
CSQA,Qwen2.5-7B,Gemma-7B,81.8,27.3,70.1,13.4,54.5,56.699999999999996,74.375,39.125,35.25,88.0,27.0625,60.9375,True,False
CSQA,LLaMA-3.1-8B,Gemma-7B,66.3,27.3,55.0,13.4,39.0,41.6,65.5,39.125,26.375,58.1875,27.0625,31.125,True,True
GPQA,DS-R1-7B,DS-R1-1.5B,46.2,37.9,62.9,56.6,8.300000000000004,6.299999999999997,42.5,47.0,4.5,58.4375,50.74999999999999,7.687500000000007,True,False
GPQA,DS-R1-7B,Qwen3-4B,46.2,60.5,62.9,58.8,14.299999999999997,4.100000000000001,42.5,50.0,7.5,58.4375,52.1875,6.25,False,False
GPQA,DS-R1-7B,Phi-4,46.2,29.7,62.9,48.4,16.500000000000004,14.5,42.5,39.875,2.625,58.4375,52.6875,5.75,True,True
GPQA,DS-R1-7B,Qwen2.5-Math,46.2,24.3,62.9,54.6,21.900000000000002,8.299999999999997,42.5,53.37499999999999,10.874999999999993,58.4375,47.875,10.5625,False,False
GPQA,DS-R1-7B,Phi-4-Reas.,46.2,44.0,62.9,62.3,2.200000000000003,0.6000000000000014,42.5,42.125,0.375,58.4375,55.625,2.8125,True,False
GPQA,DS-R1-7B,Qwen2.5-7B,46.2,35.9,62.9,55.1,10.300000000000004,7.799999999999997,42.5,35.5,7.0,58.4375,57.25,1.1875,True,True
GPQA,DS-R1-7B,LLaMA-3.1-8B,46.2,38.4,62.9,50.5,7.800000000000004,12.399999999999999,42.5,42.125,0.375,58.4375,51.9375,6.5,True,True
GPQA,DS-R1-7B,Gemma-7B,46.2,24.8,62.9,30.9,21.400000000000002,32.0,42.5,35.5,7.0,58.4375,39.0625,19.375,True,True
GPQA,DS-R1-1.5B,Qwen3-4B,37.9,60.5,56.6,58.8,22.6,2.1999999999999957,47.0,50.0,3.0,50.74999999999999,52.1875,1.437500000000007,False,True
GPQA,DS-R1-1.5B,Phi-4,37.9,29.7,56.6,48.4,8.2,8.200000000000003,47.0,39.875,7.125,50.74999999999999,52.6875,1.937500000000007,True,True
GPQA,DS-R1-1.5B,Qwen2.5-Math,37.9,24.3,56.6,54.6,13.599999999999998,2.0,47.0,53.37499999999999,6.374999999999993,50.74999999999999,47.875,2.874999999999993,False,False
GPQA,DS-R1-1.5B,Phi-4-Reas.,37.9,44.0,56.6,62.3,6.100000000000001,5.699999999999996,47.0,42.125,4.875,50.74999999999999,55.625,4.875000000000007,True,True
GPQA,DS-R1-1.5B,Qwen2.5-7B,37.9,35.9,56.6,55.1,2.0,1.5,47.0,35.5,11.5,50.74999999999999,57.25,6.500000000000007,False,False
GPQA,DS-R1-1.5B,LLaMA-3.1-8B,37.9,38.4,56.6,50.5,0.5,6.100000000000001,47.0,42.125,4.875,50.74999999999999,51.9375,1.187500000000007,True,True
GPQA,DS-R1-1.5B,Gemma-7B,37.9,24.8,56.6,30.9,13.099999999999998,25.700000000000003,47.0,35.5,11.5,50.74999999999999,39.0625,11.687499999999993,True,True
GPQA,Qwen3-4B,Phi-4,60.5,29.7,58.8,48.4,30.8,10.399999999999999,50.0,39.875,10.125,52.1875,52.6875,0.5,True,True
GPQA,Qwen3-4B,Qwen2.5-Math,60.5,24.3,58.8,54.6,36.2,4.199999999999996,50.0,53.37499999999999,3.374999999999993,52.1875,47.875,4.3125,True,False
GPQA,Qwen3-4B,Phi-4-Reas.,60.5,44.0,58.8,62.3,16.5,3.5,50.0,42.125,7.875,52.1875,55.625,3.4375,False,True
GPQA,Qwen3-4B,Qwen2.5-7B,60.5,35.9,58.8,55.1,24.6,3.6999999999999957,50.0,35.5,14.5,52.1875,57.25,5.0625,False,False
GPQA,Qwen3-4B,LLaMA-3.1-8B,60.5,38.4,58.8,50.5,22.1,8.299999999999997,50.0,42.125,7.875,52.1875,51.9375,0.25,True,True
GPQA,Qwen3-4B,Gemma-7B,60.5,24.8,58.8,30.9,35.7,27.9,50.0,35.5,14.5,52.1875,39.0625,13.125,True,True
GPQA,Phi-4,Qwen2.5-Math,29.7,24.3,48.4,54.6,5.399999999999999,6.200000000000003,39.875,53.37499999999999,13.499999999999993,52.6875,47.875,4.8125,False,True
GPQA,Phi-4,Phi-4-Reas.,29.7,44.0,48.4,62.3,14.3,13.899999999999999,39.875,42.125,2.25,52.6875,55.625,2.9375,True,True
GPQA,Phi-4,Qwen2.5-7B,29.7,35.9,48.4,55.1,6.199999999999999,6.700000000000003,39.875,35.5,4.375,52.6875,57.25,4.5625,True,True
GPQA,Phi-4,LLaMA-3.1-8B,29.7,38.4,48.4,50.5,8.7,2.1000000000000014,39.875,42.125,2.25,52.6875,51.9375,0.75,False,True
GPQA,Phi-4,Gemma-7B,29.7,24.8,48.4,30.9,4.899999999999999,17.5,39.875,35.5,4.375,52.6875,39.0625,13.625,True,True
GPQA,Qwen2.5-Math,Phi-4-Reas.,24.3,44.0,54.6,62.3,19.7,7.699999999999996,53.37499999999999,42.125,11.249999999999993,47.875,55.625,7.75,False,False
GPQA,Qwen2.5-Math,Qwen2.5-7B,24.3,35.9,54.6,55.1,11.599999999999998,0.5,53.37499999999999,35.5,17.874999999999993,47.875,57.25,9.375,False,False
GPQA,Qwen2.5-Math,LLaMA-3.1-8B,24.3,38.4,54.6,50.5,14.099999999999998,4.100000000000001,53.37499999999999,42.125,11.249999999999993,47.875,51.9375,4.0625,False,True
GPQA,Qwen2.5-Math,Gemma-7B,24.3,24.8,54.6,30.9,0.5,23.700000000000003,53.37499999999999,35.5,17.874999999999993,47.875,39.0625,8.8125,True,True
GPQA,Phi-4-Reas.,Qwen2.5-7B,44.0,35.9,62.3,55.1,8.100000000000001,7.199999999999996,42.125,35.5,6.625,55.625,57.25,1.625,True,True
GPQA,Phi-4-Reas.,LLaMA-3.1-8B,44.0,38.4,62.3,50.5,5.600000000000001,11.799999999999997,42.125,42.125,0.0,55.625,51.9375,3.6875,True,True
GPQA,Phi-4-Reas.,Gemma-7B,44.0,24.8,62.3,30.9,19.2,31.4,42.125,35.5,6.625,55.625,39.0625,16.5625,True,True
GPQA,Qwen2.5-7B,LLaMA-3.1-8B,35.9,38.4,55.1,50.5,2.5,4.600000000000001,35.5,42.125,6.625,57.25,51.9375,5.3125,False,False
GPQA,Qwen2.5-7B,Gemma-7B,35.9,24.8,55.1,30.9,11.099999999999998,24.200000000000003,35.5,35.5,0.0,57.25,39.0625,18.1875,True,True
GPQA,LLaMA-3.1-8B,Gemma-7B,38.4,24.8,50.5,30.9,13.599999999999998,19.6,42.125,35.5,6.625,51.9375,39.0625,12.875,True,True
GSM8K,DS-R1-7B,DS-R1-1.5B,91.5,60.1,98.9,95.1,31.4,3.8000000000000114,80.125,80.5,0.375,93.375,72.3125,21.0625,True,False
GSM8K,DS-R1-7B,Qwen3-4B,91.5,72.2,98.9,90.9,19.299999999999997,8.0,80.125,82.5,2.375,93.375,81.375,12.0,True,False
GSM8K,DS-R1-7B,Phi-4,91.5,93.0,98.9,91.5,1.5,7.400000000000006,80.125,73.875,6.25,93.375,89.5,3.875,True,True
GSM8K,DS-R1-7B,Qwen2.5-Math,91.5,84.55,98.9,90.8,6.950000000000003,8.100000000000009,80.125,88.125,8.0,93.375,90.1875,3.1875,True,True
GSM8K,DS-R1-7B,Phi-4-Reas.,91.5,95.4,98.9,84.5,3.9000000000000057,14.400000000000006,80.125,83.5,3.375,93.375,94.4375,1.0625,True,True
GSM8K,DS-R1-7B,Qwen2.5-7B,91.5,90.9,98.9,65.6,0.5999999999999943,33.30000000000001,80.125,72.875,7.25,93.375,78.5625,14.8125,True,True
GSM8K,DS-R1-7B,LLaMA-3.1-8B,91.5,81.3,98.9,79.9,10.200000000000003,19.0,80.125,73.375,6.75,93.375,82.5,10.875,True,True
GSM8K,DS-R1-7B,Gemma-7B,91.5,36.9,98.9,41.2,54.6,57.7,80.125,49.5,30.625,93.375,51.31250000000001,42.06249999999999,True,True
GSM8K,DS-R1-1.5B,Qwen3-4B,60.1,72.2,95.1,90.9,12.100000000000001,4.199999999999989,80.5,82.5,2.0,72.3125,81.375,9.0625,True,False
GSM8K,DS-R1-1.5B,Phi-4,60.1,93.0,95.1,91.5,32.9,3.5999999999999943,80.5,73.875,6.625,72.3125,89.5,17.1875,False,False
GSM8K,DS-R1-1.5B,Qwen2.5-Math,60.1,84.55,95.1,90.8,24.449999999999996,4.299999999999997,80.5,88.125,7.625,72.3125,90.1875,17.875,False,False
GSM8K,DS-R1-1.5B,Phi-4-Reas.,60.1,95.4,95.1,84.5,35.300000000000004,10.599999999999994,80.5,83.5,3.0,72.3125,94.4375,22.125,True,False
GSM8K,DS-R1-1.5B,Qwen2.5-7B,60.1,90.9,95.1,65.6,30.800000000000004,29.5,80.5,72.875,7.625,72.3125,78.5625,6.25,True,True
GSM8K,DS-R1-1.5B,LLaMA-3.1-8B,60.1,81.3,95.1,79.9,21.199999999999996,15.199999999999989,80.5,73.375,7.125,72.3125,82.5,10.1875,True,True
GSM8K,DS-R1-1.5B,Gemma-7B,60.1,36.9,95.1,41.2,23.200000000000003,53.89999999999999,80.5,49.5,31.0,72.3125,51.31250000000001,20.999999999999993,True,True
GSM8K,Qwen3-4B,Phi-4,72.2,93.0,90.9,91.5,20.799999999999997,0.5999999999999943,82.5,73.875,8.625,81.375,89.5,8.125,False,False
GSM8K,Qwen3-4B,Qwen2.5-Math,72.2,84.55,90.9,90.8,12.349999999999994,0.10000000000000853,82.5,88.125,5.625,81.375,90.1875,8.8125,False,False
GSM8K,Qwen3-4B,Phi-4-Reas.,72.2,95.4,90.9,84.5,23.200000000000003,6.400000000000006,82.5,83.5,1.0,81.375,94.4375,13.0625,True,False
GSM8K,Qwen3-4B,Qwen2.5-7B,72.2,90.9,90.9,65.6,18.700000000000003,25.30000000000001,82.5,72.875,9.625,81.375,78.5625,2.8125,True,True
GSM8K,Qwen3-4B,LLaMA-3.1-8B,72.2,81.3,90.9,79.9,9.099999999999994,11.0,82.5,73.375,9.125,81.375,82.5,1.125,True,True
