model,benchmark,subset_dims,subset_label,subset_size,frs_pct,n_traces
DS-R1-7B,MATH500,factuality,Fa,1,95.5,50
DS-R1-7B,MATH500,faithfulness,F,1,92.0,50
DS-R1-7B,MATH500,faithfulness|coherence,F+C,2,93.25,50
DS-R1-7B,MATH500,faithfulness|coherence|factuality,F+C+Fa,3,94.0,50
DS-R1-7B,MATH500,faithfulness|coherence|utility,F+C+U,3,93.5,50
DS-R1-7B,MATH500,faithfulness|coherence|utility|factuality,full (F+C+U+Fa),4,94.0,50
DS-R1-7B,MATH500,faithfulness|factuality,F+Fa,2,93.75,50
DS-R1-7B,MATH500,faithfulness|utility,F+U,2,93.0,50
DS-R1-7B,MATH500,faithfulness|utility|factuality,F+U+Fa,3,93.83333333333334,50
DS-R1-7B,MATH500,utility,U,1,94.0,50
DS-R1-7B,MATH500,utility|factuality,U+Fa,2,94.75,50
DS-R1-7B,SVAMP,coherence,C,1,99.0,50
DS-R1-7B,SVAMP,coherence|factuality,C+Fa,2,99.0,50
DS-R1-7B,SVAMP,coherence|utility,C+U,2,99.0,50
DS-R1-7B,SVAMP,coherence|utility|factuality,C+U+Fa,3,99.0,50
DS-R1-7B,SVAMP,factuality,Fa,1,99.0,50
DS-R1-7B,SVAMP,faithfulness,F,1,99.0,50
DS-R1-7B,SVAMP,faithfulness|coherence,F+C,2,99.0,50
DS-R1-7B,SVAMP,faithfulness|coherence|factuality,F+C+Fa,3,99.0,50
DS-R1-7B,SVAMP,faithfulness|coherence|utility,F+C+U,3,99.0,50
DS-R1-7B,SVAMP,faithfulness|coherence|utility|factuality,full (F+C+U+Fa),4,99.0,50
DS-R1-7B,SVAMP,faithfulness|factuality,F+Fa,2,99.0,50
DS-R1-7B,SVAMP,faithfulness|utility,F+U,2,99.0,50
DS-R1-7B,SVAMP,faithfulness|utility|factuality,F+U+Fa,3,99.0,50
DS-R1-7B,SVAMP,utility,U,1,99.0,50
DS-R1-7B,SVAMP,utility|factuality,U+Fa,2,99.0,50
Gemma-7B,AQuA,coherence,C,1,19.5,50
