model,dataset,bin_label,bin_start_pct,bin_end_pct,total_traces_in_bin,sampled_traces,random_seed,mean_reasoning_score,std_reasoning_score,stderr_reasoning_score,ci_lower,ci_upper,bootstrap_ci_lower,bootstrap_ci_upper,mean_accuracy_population
LLaMA-3.1-8B,MATH500,40-50,40.0,50.0,800,50,389156051,0.5325,0.27872019837032236,0.03941698846426293,0.4532885960600083,0.6117114039399916,0.45625,0.6100312499999998,0.3225
LLaMA-3.1-8B,SVAMP,0-10,0.0,10.0,1600,50,223366149,0.8,0.23076514255928726,0.03263511943303048,0.7344172721266268,0.8655827278733733,0.73375,0.8587812499999998,0.861875
LLaMA-3.1-8B,SVAMP,10-20,10.0,20.0,1600,50,66998106,0.63125,0.3302968091623913,0.04671102271260117,0.5373806854557752,0.7251193145442247,0.5399375000000001,0.71875,0.715625
LLaMA-3.1-8B,SVAMP,20-30,20.0,30.0,1600,50,568496547,0.82125,0.28738629073433686,0.04064255899965965,0.7395757198607199,0.9029242801392802,0.7375,0.8987812499999999,0.81625
LLaMA-3.1-8B,SVAMP,30-40,30.0,40.0,1600,50,1376865790,0.7925,0.2981233822101315,0.042161013038210585,0.707774272226129,0.877225727773871,0.70875,0.87375,0.84375
LLaMA-3.1-8B,SVAMP,40-50,40.0,50.0,1600,50,2141050452,0.83,0.2809422919899591,0.039731239957638234,0.7501570840406904,0.9098429159593096,0.74625,0.90375,0.845625
Phi-4,AQuA,0-10,0.0,10.0,407,50,78614787,0.785,0.2481307670383107,0.03509098959876179,0.7144820162559686,0.8555179837440314,0.7149687499999999,0.8500312499999998,0.5331695331695332
Phi-4,AQuA,10-20,10.0,20.0,406,50,191504850,0.75875,0.2471166635582539,0.034947573709247184,0.6885202212761481,0.828979778723852,0.6887187499999999,0.82625,0.5320197044334976
Phi-4,AQuA,20-30,20.0,30.0,407,50,1993576027,0.7425,0.2689382942655229,0.03803361831917888,0.6660685824473531,0.818931417552647,0.66875,0.8162812499999998,0.5208845208845209
Phi-4,AQuA,30-40,30.0,40.0,406,50,1157851650,0.76375,0.23224242370279152,0.03284403853588865,0.6977474334709597,0.8297525665290404,0.69625,0.8275,0.5197044334975369
Phi-4,AQuA,40-50,40.0,50.0,406,50,1464171519,0.75125,0.24271595160447387,0.03432521905633387,0.6822708897753548,0.8202291102246452,0.68375,0.8187812499999998,0.5369458128078818
Phi-4,CommonsenseQA,0-10,0.0,10.0,1954,50,847950179,0.7725,0.27628410769218215,0.039072473216643276,0.6939809253704382,0.8510190746295617,0.6925,0.8425,0.657625383828045
Phi-4,CommonsenseQA,10-20,10.0,20.0,1954,50,1865869340,0.61875,0.32932996681264265,0.04657429055623205,0.5251554590113339,0.7123445409886662,0.52625,0.7075,0.5025588536335721
Phi-4,CommonsenseQA,20-30,20.0,30.0,1953,50,791330004,0.6675,0.3015795999434326,0.04264979603750546,0.5817920260144163,0.7532079739855837,0.58625,0.745,0.48131080389144903
Phi-4,CommonsenseQA,30-40,30.0,40.0,1954,50,475833821,0.70875,0.31048072091713597,0.04390860463763896,0.6205123554233026,0.7969876445766974,0.6186875000000001,0.7925,0.5209825997952917
Phi-4,CommonsenseQA,40-50,40.0,50.0,1953,50,2063943207,0.70625,0.337459842660076,0.04772402862461702,0.6103449738599227,0.8021550261400774,0.61746875,0.79875,0.5852534562211982
Phi-4,GPQA,0-10,0.0,10.0,717,50,1932838373,0.48375,0.24413072046235676,0.03452529758697798,0.4143688169146912,0.5531311830853088,0.415,0.55375,0.17433751743375175
Phi-4,GPQA,10-20,10.0,20.0,717,50,361333389,0.4675,0.2147465283271686,0.030369745283281985,0.40646971192079406,0.528530288079206,0.41125,0.5275312499999998,0.15620641562064155
Phi-4,GPQA,20-30,20.0,30.0,717,50,1048713266,0.4725,0.2202155715638285,0.031143184795130917,0.40991542703036504,0.535084572969635,0.4125,0.53375,0.18828451882845187
Phi-4,GPQA,30-40,30.0,40.0,717,50,33617371,0.54875,0.25855576610022346,0.03656530710487017,0.47526926430402705,0.6222307356959729,0.47625,0.62125,0.2315202231520223
Phi-4,GPQA,40-50,40.0,50.0,716,50,1003138359,0.54125,0.23944890490713147,0.03386318888150509,0.4731993741734972,0.6093006258265028,0.47875,0.60875,0.2388268156424581
Phi-4,GSM8K,0-10,0.0,10.0,2111,50,1997281058,0.915,0.19551736704529993,0.027650331215494157,0.8594345790909214,0.9705654209090787,0.86,0.96625,0.625769777356703
Phi-4,GSM8K,10-20,10.0,20.0,2110,50,155128998,0.8325,0.22426182766342287,0.03171541182041904,0.76876549377033,0.89623450622967,0.76871875,0.895,0.6289099526066351
Phi-4,GSM8K,20-30,20.0,30.0,2111,50,467307449,0.855,0.2263846284534354,0.032015621187164243,0.7906622004609645,0.9193377995390355,0.7924687499999999,0.915,0.6357176693510185
Phi-4,GSM8K,30-40,30.0,40.0,2110,50,903907179,0.89375,0.20986891559898496,0.029679946676061893,0.8341059141204697,0.9533940858795303,0.83125,0.9475,0.5658767772511848
Phi-4,GSM8K,40-50,40.0,50.0,2110,50,626604438,0.9125,0.19438875943818965,0.027490721997036876,0.8572553258239506,0.9677446741760494,0.8575,0.9625,0.6156398104265403
Phi-4,MATH500,0-10,0.0,10.0,800,50,960584707,0.74375,0.30651149810306916,0.04334727176406556,0.6566403960658224,0.8308596039341777,0.65496875,0.8275,0.6075
Phi-4,MATH500,10-20,10.0,20.0,800,50,628935952,0.78,0.25450031073314094,0.035991779106697486,0.7076718119669552,0.8523281880330449,0.70621875,0.85125,0.56375
Phi-4,MATH500,20-30,20.0,30.0,800,50,921871646,0.73,0.2715342839255087,0.03840074669767211,0.6528308103490857,0.8071691896509142,0.6525,0.80375,0.52625
Phi-4,MATH500,30-40,30.0,40.0,800,50,1973268049,0.7125,0.27403587952183583,0.038754525739661976,0.6346198647468876,0.7903801352531125,0.635,0.78875,0.54
Phi-4,MATH500,40-50,40.0,50.0,800,50,1734016578,0.785,0.25416178761905633,0.035943904708785966,0.7127680191714907,0.8572319808285094,0.71125,0.855,0.55125
Phi-4,SVAMP,0-10,0.0,10.0,1600,50,209691600,0.755,0.30221334875095324,0.04273942165337881,0.6691119165961448,0.8408880834038552,0.6687187499999999,0.8375,0.473125
Phi-4,SVAMP,10-20,10.0,20.0,1600,50,1707670832,0.81875,0.2600805654219555,0.03678094629293925,0.7448359211315287,0.8926640788684712,0.74375,0.8875,0.5675
Phi-4,SVAMP,20-30,20.0,30.0,1600,50,513879938,0.82875,0.2486603135416109,0.03516587878344923,0.7580815208048919,0.8994184791951081,0.76,0.895,0.58125
Phi-4,SVAMP,30-40,30.0,40.0,1600,50,721280092,0.82625,0.2455892798714046,0.03473156903675821,0.7564542989170862,0.8960457010829139,0.75625,0.89,0.559375
Phi-4,SVAMP,40-50,40.0,50.0,1600,50,956714403,0.835,0.2552884522996507,0.03610323915594029,0.7624478246120676,0.9075521753879323,0.7625,0.9,0.561875
Phi-4-Reas.,AQuA,0-10,0.0,10.0,407,50,1194221023,0.8325,0.2155616773331797,0.03048502476124757,0.7712380491365252,0.8937619508634749,0.77125,0.8862812499999998,0.7346437346437347
Phi-4-Reas.,AQuA,10-20,10.0,20.0,406,50,337458692,0.9125,0.1587177574520641,0.022446080517815242,0.8673929124207894,0.9576070875792105,0.86625,0.955,0.7019704433497537
Phi-4-Reas.,AQuA,20-30,20.0,30.0,407,50,551345836,0.93,0.11409023460688063,0.01613479571153788,0.8975759140819545,0.9624240859180456,0.895,0.96,0.7027027027027027
Phi-4-Reas.,AQuA,30-40,30.0,40.0,406,50,542611152,0.9025,0.1412634317254722,0.019977666101352855,0.862353376907085,0.9426466230929149,0.865,0.94,0.6157635467980296
Phi-4-Reas.,AQuA,40-50,40.0,50.0,406,50,22432952,0.87375,0.17010744653702536,0.024056825795331745,0.8254059985977694,0.9220940014022306,0.8275,0.91875,0.6133004926108374
Phi-4-Reas.,CommonsenseQA,0-10,0.0,10.0,1954,50,1783713561,0.33375,0.36522332069514923,0.051650377342201834,0.22995468070473007,0.4375453192952699,0.23375,0.43875,0.6719549641760492
Phi-4-Reas.,CommonsenseQA,10-20,10.0,20.0,1954,50,1637031938,0.4925,0.1828243553194136,0.025855268282483242,0.44054189311018865,0.5444581068898113,0.44,0.54125,0.8346980552712385
Phi-4-Reas.,CommonsenseQA,20-30,20.0,30.0,1953,50,93676552,0.7625,0.25411159769210195,0.035936806781246625,0.6902822829909087,0.8347177170090913,0.69246875,0.8262812499999999,0.8136200716845878
Phi-4-Reas.,CommonsenseQA,30-40,30.0,40.0,1954,50,1644123786,0.7875,0.2512722728476837,0.03553526561095071,0.7160892101834232,0.8589107898165768,0.71625,0.85125,0.8172978505629478
Phi-4-Reas.,CommonsenseQA,40-50,40.0,50.0,1953,50,191037166,0.76125,0.19711325476507568,0.02787602382122731,0.7052310328192368,0.8172689671807631,0.70625,0.81375,0.7977470558115719
Phi-4-Reas.,GPQA,0-10,0.0,10.0,717,50,830258587,0.6225,0.35241513669453617,0.049839026589898125,0.5223447263223151,0.722655273677685,0.525,0.715,0.5620641562064156
Phi-4-Reas.,GPQA,10-20,10.0,20.0,717,50,1116374684,0.72125,0.2117446057429197,0.029945209320098098,0.6610728488796791,0.7814271511203208,0.66496875,0.78,0.6136680613668062
Phi-4-Reas.,GPQA,20-30,20.0,30.0,717,50,244015364,0.615,0.1928902088055825,0.027278794934183295,0.5601812092015387,0.6698187907984613,0.56625,0.6662812499999998,0.5495118549511855
Phi-4-Reas.,GPQA,30-40,30.0,40.0,717,50,122540363,0.62375,0.21334989107193883,0.030172230948475837,0.5631166318369986,0.6843833681630015,0.565,0.6825,0.5271966527196653
