model,benchmark,k,mean_recall,std_recall,mean_jaccard,std_jaccard,mean_precision,std_precision,mean_snr_k8,std_snr_k8,snr_k16,regime_flip_rate,mean_scored_overlap,std_scored_overlap,mean_partial_frs,frs_k16
DS-R1-7B,SVAMP,4,0.998,0.0040000000000000036,0.24937655860349128,0.0012468827930174565,0.2495,0.0010000000000000009,0.6893602199487252,0.039509097818910106,0.6681210293433025,0.0,15.3,2.8653097563788807,99.05866192630899,99.0
Gemma-7B,AQuA,8,0.9887254901960784,0.01740713814173011,0.4929034485541341,0.012779982910583068,0.49557739557739566,0.008724953761456874,-0.24957524921358107,0.019919738407371917,-0.23567763007698123,0.0,24.2,2.521904042583698,21.08581998532656,22.25
Gemma-7B,AQuA,4,0.9715686274509805,0.02753837628468263,0.2418242605087925,0.008460542825248059,0.2434889434889435,0.006901509535718993,-0.2261505294899518,0.052651618496634835,-0.23567763007698123,0.0,12.8,3.1559467676118995,24.646381997775187,22.25
Gemma-7B,CommonsenseQA,8,0.992835209825998,0.01666833407232123,0.49474657279633394,0.012160376048683969,0.496417604912999,0.008334167036160614,-0.010654340922929634,0.020019636164743327,-0.01379210819360508,0.3,25.0,2.1908902300206643,14.259527162652162,13.375
Gemma-7B,CommonsenseQA,4,0.9820040899795501,0.02504256771344234,0.24469868719687335,0.007723730353191382,0.24575230296827016,0.006267049954899327,-0.029291327857223527,0.020277671612627828,-0.01379210819360508,0.1,11.9,2.2113344387495983,8.595657814407813,13.375
Gemma-7B,GPQA,8,0.9732590529247911,0.027888559355507145,0.4811473633076034,0.020145888545836082,0.4873082287308228,0.013963727766564946,-0.2998476292427853,0.02510329029674056,-0.2902269001830551,0.0,23.9,2.2561028345356955,31.358960333145113,30.875000000000004
Gemma-7B,GPQA,4,0.9844444444444445,0.03649792823479298,0.2462810504094229,0.011127136693877706,0.24714086471408647,0.00916265980789782,-0.3018760049734872,0.0546899407189564,-0.2902269001830551,0.0,11.3,2.147091055358389,29.27381993006993,30.875000000000004
Gemma-7B,GSM8K,8,0.9918560606060607,0.011753110972803177,0.4942006463510854,0.00867683990130411,0.49616295594504967,0.005879339264462412,-0.09158960465721556,0.009442319548004952,-0.09572286598715853,0.0,25.9,3.1128764832546763,39.97218033628734,41.25
Gemma-7B,GSM8K,4,0.9914772727272727,0.013923997178570312,0.24747421188555294,0.004311198496158631,0.2479867361440075,0.0034826482758337765,-0.1000842495339797,0.025177613375360983,-0.09572286598715853,0.0,12.1,2.5475478405713994,42.12391948329448,41.25
Gemma-7B,MATH500,8,0.98275,0.01995150370272876,0.48731693311381363,0.014540217340367822,0.491375,0.00997575185136438,-0.3001287390125544,0.030092663541862692,-0.30661920445129226,0.0,25.2,1.469693845669907,19.270218242908463,18.875
Gemma-7B,MATH500,4,0.9969999999999999,0.009000000000000008,0.24906947890818856,0.0027915632754342444,0.24924999999999997,0.002250000000000002,-0.29246733635671895,0.041760684145627246,-0.30661920445129226,0.0,12.5,2.80178514522438,18.038831827894327,18.875
Gemma-7B,SVAMP,8,0.9942499999999999,0.008200609733428363,0.4957247103838406,0.006077377249664266,0.49712499999999993,0.004100304866714181,-0.284665611556892,0.008412395987624185,-0.2834992773077931,0.0,25.2,2.9933259094191533,31.090062292432982,31.125000000000004
Gemma-7B,SVAMP,4,0.9875,0.01887458608817688,0.2461333459356625,0.0058306424074824,0.246875,0.00471864652204422,-0.283817975889522,0.013106286341442161,-0.2834992773077931,0.0,14.0,3.7682887362833544,31.89516223155929,31.125000000000004
LLaMA-3.1-8B,AQuA,8,0.9848039215686274,0.026164717931534343,0.4901285831529257,0.0190597592882833,0.49361179361179364,0.013114502353889473,0.044668037003264556,0.02592654575545095,0.03778036064244679,0.1,26.6,2.0591260281974,53.30705602060082,52.87500000000001
LLaMA-3.1-8B,AQuA,4,0.9745098039215687,0.029801341477589536,0.24274373279310418,0.00915653612003446,0.24422604422604421,0.007468640861705495,0.023255243146952317,0.0581774438696308,0.03778036064244679,0.4,11.8,2.925747767665559,53.53436147186146,52.87500000000001
LLaMA-3.1-8B,CommonsenseQA,8,0.9969293756397134,0.005357728691219012,0.49771122465083584,0.003986378574001937,0.4984646878198567,0.002678864345609506,0.10475955344104718,0.011585598043020541,0.10174884576050221,0.0,24.9,4.414748010928823,53.968514300066715,55.00000000000001
LLaMA-3.1-8B,CommonsenseQA,4,0.9928425357873211,0.01656946576601608,0.248041607630722,0.005115364199446778,0.2484646878198567,0.004146606325272186,0.101126038333755,0.01836518425925702,0.10174884576050221,0.0,11.4,2.6153393661244038,54.0209478021978,55.00000000000001
LLaMA-3.1-8B,GPQA,8,0.9852367688022285,0.02186407738517035,0.4898587554432294,0.015923257383366772,0.49330543933054394,0.010947285608474439,0.11899992289658905,0.018536178140682893,0.13132694352174148,0.0,23.5,2.4596747752497685,50.44154351348287,50.5
LLaMA-3.1-8B,GPQA,4,0.9766666666666666,0.027080128015453193,0.2438169238274423,0.008363267174072068,0.24518828451882846,0.00679835849760331,0.1477016130176832,0.05118572328717941,0.13132694352174148,0.0,12.4,1.624807680927192,52.6007117882118,50.5
LLaMA-3.1-8B,GSM8K,8,0.9819128787878789,0.016173233326693483,0.4868796973860878,0.011853915370432767,0.491189009947892,0.008090447367592757,0.11757662699608702,0.010501599802504131,0.12260808096739166,0.0,26.3,2.6476404589747453,78.89782955497185,79.875
LLaMA-3.1-8B,GSM8K,4,0.9956439393939395,0.01078215555112901,0.24876686915512466,0.003341767020484277,0.24902889625769772,0.0026968157891975814,0.14721662755292642,0.025383449365635677,0.12260808096739166,0.0,13.8,4.28485705712571,81.90537258280224,79.875
LLaMA-3.1-8B,MATH500,8,0.98225,0.018181377835576714,0.4869246194357898,0.013318927823333129,0.491125,0.009090688917788357,0.20412246249593133,0.023847833093753632,0.20000437963215137,0.0,24.7,3.8742741255621036,59.97151707857243,60.62499999999999
LLaMA-3.1-8B,MATH500,4,0.991,0.012806248474865708,0.24720649675390116,0.00397037365982106,0.24775,0.003201562118716427,0.2006764326899193,0.05215574765842142,0.20000437963215137,0.0,12.7,2.368543856465402,61.669112137862136,60.62499999999999
LLaMA-3.1-8B,SVAMP,8,0.9915,0.008852965604812897,0.493680881984329,0.006557372012309162,0.49575,0.004426482802406448,0.041364634841847284,0.01649028809672045,0.05028287753044442,0.0,26.0,4.732863826479693,79.63768277589203,80.0
LLaMA-3.1-8B,SVAMP,4,0.974,0.03686461718233354,0.24203054777563282,0.011257262482853166,0.2435,0.009216154295583385,0.06104004430280319,0.02830955920897371,0.05028287753044442,0.0,12.5,3.1064449134018135,81.25998960190137,80.0
Phi-4,AQuA,8,0.9897058823529413,0.014113902008713687,0.49359575260062466,0.010427311658072055,0.4960687960687961,0.0070742899503135155,-0.036587829170309644,0.01819668277061522,-0.03777089150649387,0.0,25.0,3.872983346207417,76.68043476627037,78.5
Phi-4,AQuA,4,0.9107843137254902,0.08685743355601147,0.223813537468858,0.02582863954179427,0.22825552825552825,0.021767710620916886,-0.05269596561485683,0.05041133145203351,-0.03777089150649387,0.2,11.6,3.2,75.50294237012987,78.5
Phi-4,CommonsenseQA,8,0.9966223132036849,0.006277071896197311,0.497485618386146,0.004663685429492298,0.49831115660184244,0.0031385359480986556,0.41707144533003265,0.01627937124264174,0.4187462740902154,0.0,23.4,2.8705400188814645,74.69087626660567,77.25
Phi-4,CommonsenseQA,4,0.9854805725971371,0.019171710974657273,0.2457577880124877,0.005930523899101543,0.24662231320368475,0.004797833503893237,0.41314667633738145,0.020086062559033516,0.4187462740902154,0.0,12.6,2.5377155080899043,79.72704659515321,77.25
