model,benchmark,resample_id,k,recall,precision,jaccard,snr_k16,snr_k8,regime_flip,num_scored_in_overlap,partial_frs_estimate
DS-R1-1.5B,GSM8K,5,4,1.0,0.2501184272856466,0.2501184272856466,0.7231409266926733,0.7833158693569324,False,14,94.64285714285714
DS-R1-1.5B,GSM8K,6,4,1.0,0.2501184272856466,0.2501184272856466,0.7231409266926733,0.7380153325641351,False,14,95.98214285714286
DS-R1-1.5B,GSM8K,7,4,0.9659090909090909,0.24159166271909047,0.23954908407703146,0.7231409266926733,0.6968634556089583,False,5,100.0
DS-R1-1.5B,GSM8K,8,4,1.0,0.2501184272856466,0.2501184272856466,0.7231409266926733,0.786706861076158,False,11,96.5909090909091
DS-R1-1.5B,GSM8K,9,4,0.9981060606060606,0.24964471814306016,0.24952651515151514,0.7231409266926733,0.7031315864746059,False,17,97.79411764705883
DS-R1-1.5B,MATH500,0,8,1.0,0.5,0.5,0.4805963022672171,0.4491971196686558,False,23,77.44565217391305
DS-R1-1.5B,MATH500,1,8,1.0,0.5,0.5,0.4805963022672171,0.48978552955751753,False,21,88.39285714285714
DS-R1-1.5B,MATH500,2,8,0.955,0.4775,0.4669926650366748,0.4805963022672171,0.5113515770557272,False,21,78.57142857142857
DS-R1-1.5B,MATH500,3,8,0.965,0.4825,0.4742014742014742,0.4805963022672171,0.43932687039754426,False,24,76.5625
DS-R1-1.5B,MATH500,4,8,1.0,0.5,0.5,0.4805963022672171,0.4748007263745149,False,27,88.19444444444444
DS-R1-1.5B,MATH500,5,8,0.9975,0.49875,0.49812734082397003,0.4805963022672171,0.45146615877761354,False,24,84.89583333333333
DS-R1-1.5B,MATH500,6,8,0.9925,0.49625,0.4943960149439601,0.4805963022672171,0.46889432210943655,False,24,88.28125
DS-R1-1.5B,MATH500,7,8,0.9925,0.49625,0.4943960149439601,0.4805963022672171,0.4660591866523917,False,14,84.375
DS-R1-1.5B,MATH500,8,8,1.0,0.5,0.5,0.4805963022672171,0.4524518546627875,False,24,84.89583333333333
DS-R1-1.5B,MATH500,9,8,0.9525,0.47625,0.4652014652014652,0.4805963022672171,0.49455482137750856,False,29,88.79310344827586
DS-R1-1.5B,MATH500,0,4,1.0,0.25,0.25,0.4805963022672171,0.5099090880721661,False,15,75.83333333333333
DS-R1-1.5B,MATH500,1,4,1.0,0.25,0.25,0.4805963022672171,0.45858038169521137,False,15,82.08333333333333
DS-R1-1.5B,MATH500,2,4,0.98,0.245,0.24378109452736318,0.4805963022672171,0.4612981082354497,False,10,91.25
DS-R1-1.5B,MATH500,3,4,1.0,0.25,0.25,0.4805963022672171,0.4608437180057244,False,12,71.875
DS-R1-1.5B,MATH500,4,4,1.0,0.25,0.25,0.4805963022672171,0.41914127681979846,False,9,81.25
DS-R1-1.5B,MATH500,5,4,1.0,0.25,0.25,0.4805963022672171,0.47786153812146837,False,10,77.5
DS-R1-1.5B,MATH500,6,4,0.98,0.245,0.24378109452736318,0.4805963022672171,0.44172312601447544,False,9,86.80555555555556
DS-R1-1.5B,MATH500,7,4,1.0,0.25,0.25,0.4805963022672171,0.535552686250682,False,9,77.77777777777777
DS-R1-1.5B,MATH500,8,4,1.0,0.25,0.25,0.4805963022672171,0.5004363939867726,False,14,80.35714285714286
DS-R1-1.5B,MATH500,9,4,1.0,0.25,0.25,0.4805963022672171,0.4614829778625231,False,15,84.58333333333333
DS-R1-1.5B,SVAMP,0,8,0.9475,0.47375,0.46163215590742995,0.48884767526520545,0.5031156644876259,False,26,93.99038461538461
DS-R1-1.5B,SVAMP,1,8,1.0,0.5,0.5,0.48884767526520545,0.4825564608401793,False,24,93.48958333333333
DS-R1-1.5B,SVAMP,2,8,1.0,0.5,0.5,0.48884767526520545,0.5034372659110207,False,24,94.27083333333333
DS-R1-1.5B,SVAMP,3,8,1.0,0.5,0.5,0.48884767526520545,0.48534562438149625,False,27,96.75925925925925
DS-R1-1.5B,SVAMP,4,8,0.96875,0.484375,0.47692307692307695,0.48884767526520545,0.45961851851508684,False,23,97.82608695652173
DS-R1-1.5B,SVAMP,5,8,0.98375,0.491875,0.4879107253564786,0.48884767526520545,0.4834075921405113,False,23,96.19565217391305
DS-R1-1.5B,SVAMP,6,8,0.985,0.4925,0.48883374689826303,0.48884767526520545,0.48075538313969174,False,26,100.0
DS-R1-1.5B,SVAMP,7,8,0.99625,0.498125,0.49719276356830944,0.48884767526520545,0.49669847551785995,False,22,96.875
