model,benchmark,mean_selection_gain,std_selection_gain,stderr_selection_gain,n_questions,mean_top_conf_reasoning,mean_random_reasoning,frs_pct,pass1_pct,pass16_pct,high_conf_accuracy_pct,unfiltered_reasoning_mean,snr
Gemma-7B,CSQA,-0.15625,0.2640578771784701,0.03734342311572414,50,0.1175,0.27375,13.4,27.3,90.41769041769042,15.51,0.270625,-0.173487
Gemma-7B,GPQA,-0.07875,0.24774293632715344,0.03503614205359945,50,0.335,0.41375,30.9,24.8,96.875,11.4,0.390625,-0.134219
Gemma-7B,GSM8K,-0.05,0.3954823004889094,0.05592964330299274,50,0.52,0.57,41.2,36.9,91.96360879454132,24.44,0.513125,-4.838499
Gemma-7B,MATH500,-0.085,0.23243278598338918,0.0328709598277872,50,0.2675,0.3525,18.9,18.2,54.8,4.0,0.3625,-1.601544
Gemma-7B,SVAMP,-0.18,0.4892021565774215,0.06918363245739559,50,0.33625,0.51625,31.1,37.8,94.4,21.94,0.56,-3.458654
LLaMA-3.1-8B,AQuA,-0.0275,0.3095258470628907,0.04377356508213605,50,0.4125,0.44,52.9,48.8,98.03149606299212,56.76,0.531875,0.572747
LLaMA-3.1-8B,CSQA,-0.05125,0.27032676985455956,0.03822997842008285,50,0.5275,0.57875,55.0,66.3,97.54299754299754,68.27,0.581875,0.221359
LLaMA-3.1-8B,GPQA,-0.015,0.22028390771910686,0.031152848986890424,50,0.54125,0.55625,50.5,38.4,95.53571428571428,38.91,0.519375,1.248826
LLaMA-3.1-8B,GSM8K,-0.01375,0.29640818561571475,0.04191844760961455,50,0.80375,0.8175,79.9,81.3,97.72554965883243,82.85,0.825,0.552588
LLaMA-3.1-8B,MATH500,-0.00625,0.30650499588098074,0.04334635221099926,50,0.5125,0.51875,60.6,35.6,80.2,54.5,0.501875,0.689456
LLaMA-3.1-8B,SVAMP,-0.08375,0.3496895944977488,0.04945357671594643,50,0.7,0.78375,80.0,85.2,97.9,86.19,0.806875,0.567369
Phi-4,AQuA,-0.0625,0.2918154382482188,0.04126893504804795,50,0.78875,0.85125,78.5,77.6,96.45669291338582,53.32,0.7925,-3.709158
Phi-4,CSQA,0.17375,0.3861448076822994,0.054609122406425833,50,0.81625,0.6425,77.2,21.5,93.03849303849304,65.76,0.626875,1.28948
Phi-4,GPQA,0.1075,0.295550334122633,0.04179712908801273,50,0.63,0.5225,48.4,29.7,93.52678571428572,17.43,0.526875,-0.051
Phi-4,GSM8K,-0.0525,0.30061395509856154,0.04251323323390023,50,0.86375,0.91625,91.5,93.0,97.87717968157696,62.58,0.895,-0.787213
Phi-4,MATH500,-0.01875,0.29000269395300454,0.041012574291307294,50,0.8025,0.82125,74.4,60.8,92.2,60.75,0.8225,-4.464555
Phi-4,SVAMP,-0.0175,0.3330821970625269,0.04710493604708534,50,0.81875,0.83625,75.5,92.3,97.9,47.31,0.838125,-2.423601
Phi-4-Reas.,AQuA,-0.09,0.23984369910422915,0.03391902121229326,50,0.7725,0.8625,83.2,68.1,93.30708661417324,73.46,0.794375,-0.037384
Phi-4-Reas.,CSQA,-0.31375,0.43740891909059193,0.06185896256808709,50,0.35,0.66375,33.4,36.9,94.67649467649468,67.2,0.65625,2.145474
Phi-4-Reas.,GPQA,-0.06,0.33795339915438044,0.047793828053421285,50,0.50625,0.56625,62.3,44.0,97.09821428571428,56.21,0.55625,0.858754
Phi-4-Reas.,GSM8K,-0.11375,0.2350830970103976,0.03324577040767743,50,0.795,0.90875,84.5,95.4,98.18043972706596,96.02,0.944375,0.740415
Phi-4-Reas.,MATH500,-0.045,0.2580092052621379,0.03648801172988191,50,0.7975,0.8425,80.0,74.6,95.6,88.5,0.811875,-0.036428
Phi-4-Reas.,SVAMP,-0.18125,0.25070213900164473,0.035454636509207084,50,0.71125,0.8925,74.8,94.6,97.4,94.5,0.880625,-0.037384
Qwen2.5-7B,AQuA,-0.0075,0.26973366493635903,0.03814610071815991,50,0.685,0.6925,77.2,78.3,94.88188976377953,86.49,0.69625,1.563688
Qwen2.5-7B,CSQA,-0.14375,0.23125000000000004,0.032703688629877825,50,0.71375,0.8575,70.1,81.8,95.16789516789515,82.29,0.88,0.326144
Qwen2.5-7B,GPQA,-0.02875,0.18294893413190466,0.02587288638710416,50,0.5175,0.54625,55.1,35.9,87.5,39.61,0.5725,1.121449
Qwen2.5-7B,GSM8K,-0.18125,0.2646489419967516,0.03742701230394967,50,0.6,0.78125,65.6,90.9,97.4981046247157,62.62,0.785625,0.72455
Qwen2.5-7B,MATH500,-0.0375,0.2576941016011038,0.036443449342783124,50,0.7025,0.74,75.6,60.6,91.2,53.5,0.68125,1.046219
Qwen2.5-7B,SVAMP,-0.15125,0.30798995519334715,0.04355635717091134,50,0.6225,0.77375,64.9,93.6,97.6,62.25,0.77875,0.835712
Qwen2.5-Math,AQuA,-0.08125,0.33148576515440303,0.046879166481497946,50,0.7075,0.78875,74.9,29.1,97.24409448818898,47.91,0.776875,-1.469844
Qwen2.5-Math,CSQA,-0.04625,0.2863591494958735,0.04049729929266889,50,0.645,0.69125,70.6,45.9,95.004095004095,50.72,0.655,-0.109159
Qwen2.5-Math,GPQA,0.04,0.25210364931908463,0.03565283999908002,50,0.55,0.51,54.6,24.3,96.42857142857144,39.19,0.47875,-3.792145
Qwen2.5-Math,GSM8K,-0.06875,0.3209483019116942,0.04538894413841327,50,0.8325,0.90125,90.8,84.55,98.25625473843822,55.42,0.901875,0.281677
Qwen2.5-Math,MATH500,-0.0275,0.2669737814842499,0.03775579425730573,50,0.70625,0.73375,77.5,63.6,78.4,61.0,0.795,-0.176052
Qwen2.5-Math,SVAMP,-0.02375,0.3486334930840696,0.04930422142169978,50,0.815,0.83875,74.5,90.8,98.2,44.75,0.856875,-0.763843
Qwen3-4B,AQuA,0.0775,0.1835245215223295,0.025954286736491135,50,0.77125,0.69375,78.5,57.5,92.51968503937007,53.32,0.69125,0.033516
Qwen3-4B,CSQA,-0.03875,0.1948116077137089,0.027550521773643418,50,0.69125,0.73,75.0,69.5,94.75839475839476,84.49,0.74375,4.307875
Qwen3-4B,GPQA,0.03375,0.15320023661861623,0.021665785238481432,50,0.54375,0.51,58.8,60.5,97.09821428571428,62.9,0.521875,-0.90558
Qwen3-4B,GSM8K,0.1,0.22360679774997896,0.03162277660168379,50,0.87625,0.77625,90.9,72.2,96.66413949962092,92.14,0.81375,3.91101
Qwen3-4B,MATH500,0.0425,0.1893409622876149,0.026776855677991773,50,0.705,0.6625,63.5,49.8,76.4,27.0,0.704375,1.014402
Qwen3-4B,SVAMP,-0.00625,0.22264391413196094,0.031486604294524996,50,0.825,0.83125,91.0,79.5,97.3,88.0,0.84,4.144028
