model,benchmark,between_ss,within_ss,total_ss,between_var,within_var,total_var,between_fraction
Phi-4,MATH500,70.23621520366548,212.00354261444616,282.2397578181116,0.008779526900458185,0.026500442826805772,0.03527996972726395,0.24885301683446368
Phi-4,SVAMP,25.238337910122606,263.989564631683,289.2279025418056,0.0015773961193826628,0.016499347789480184,0.01807674390886285,0.08726107574103992
Phi-4-Reas.,AQuA,6.7613744793123205,16.39667418910911,23.15804866842143,0.0016637240352638583,0.004034614711887083,0.0056983387471509425,0.2919665027102307
Phi-4-Reas.,CommonsenseQA,30.230045369726174,364.0066181284488,394.23666349817495,0.0015474019947648533,0.018632607398057374,0.02018000939282222,0.07667994422813523
Phi-4-Reas.,GPQA,9.25543881125007,76.66680348310138,85.92224229435143,0.0012912163520159138,0.01069570361092374,0.011986919962939654,0.10771877646701646
Phi-4-Reas.,GSM8K,24.2396715520223,125.29163441414195,149.53130596616424,0.0011485818589851355,0.005936866679972609,0.007085448538957744,0.16210432588281698
Phi-4-Reas.,MATH500,19.81753849207824,39.18608777842304,59.00362627050128,0.00247719231150978,0.00489826097230288,0.00737545328381266,0.33586983961333183
Phi-4-Reas.,SVAMP,18.731659344224063,113.20866846824455,131.94032781246864,0.001170728709014004,0.0070755417792652845,0.00824627048827929,0.14197068974125954
Qwen2.5-7B,AQuA,23.56778772159055,134.95654413383525,158.52433185542583,0.005799160364564604,0.03320781105655395,0.03900697142111856,0.1486698442172547
Qwen2.5-7B,CommonsenseQA,17.05055445401769,97.6460005013199,114.6965549553376,0.0008727761288911594,0.004998259648920962,0.005871035777812121,0.14865794757878395
Qwen2.5-7B,GPQA,49.82408660229183,76.77379715604755,126.59788375833938,0.006950904938935802,0.010710630183600384,0.017661535122536185,0.39356176519822567
Qwen2.5-7B,GSM8K,154.13093712900806,1057.367762430466,1211.498699559474,0.007303399219532224,0.05010271808332381,0.05740611730285605,0.127223361597543
Qwen2.5-7B,MATH500,52.59973374233233,233.8425279652597,286.442261707592,0.006574966717791541,0.029230315995657462,0.035805282713449,0.18363119125217478
Qwen2.5-7B,SVAMP,125.69688328620572,928.7081502499581,1054.405033536164,0.007856055205387857,0.05804425939062239,0.06590031459601024,0.11921119426436669
Qwen2.5-Math,AQuA,11.646748113040601,70.42063524165233,82.06738335469294,0.0028658336892324315,0.017327912214973505,0.02019374590420594,0.14191689361781748
Qwen2.5-Math,CommonsenseQA,11.56533208134628,110.12346171383214,121.68879379517841,0.0005920010279149406,0.005636950333427117,0.006228951361342056,0.09504023929115916
Qwen2.5-Math,GPQA,30.604798569507654,34.89554320338941,65.50034177289706,0.004269642657576403,0.004868239844222853,0.009137882501799255,0.4672463950741003
Qwen2.5-Math,GSM8K,57.08901224151806,243.5331748566006,300.6221870981186,0.002705127570200818,0.011539669013296084,0.014244796583496902,0.18990285711308813
Qwen2.5-Math,MATH500,45.88575145696141,45.63066655473098,91.51641801169238,0.005735718932120176,0.005703833319341372,0.011439552251461548,0.50139365650324
Qwen2.5-Math,SVAMP,35.650944827754216,200.78586347885908,236.43680830661327,0.0022281840517346385,0.01254911646742869,0.014777300519163329,0.1507842416038782
Qwen3-4B,AQuA,6.7477778809430715,6.904832951785279,13.65261083272835,0.0016603784155863857,0.0016990238562463776,0.0033594022718327634,0.49424816715401754
Qwen3-4B,CommonsenseQA,9.979640387360476,35.87165639574164,45.851296783102114,0.0005108333531613675,0.0018361822479392726,0.0023470156011006407,0.21765230402465607
Qwen3-4B,GPQA,16.5451221397902,16.434850609524283,32.979972749314484,0.0023081922628055526,0.0022928083997662226,0.004601000662571775,0.5016717953514411
Qwen3-4B,GSM8K,16.783619518123626,70.83441492301158,87.61803444113521,0.0007952814403963053,0.003356444983084324,0.00415172642348063,0.19155439431136104
Qwen3-4B,MATH500,31.881176987738623,21.00033857767854,52.88151556541716,0.003985147123467328,0.0026250423222098176,0.006610189445677145,0.6028794115838069
Qwen3-4B,SVAMP,12.063676963787488,55.92214276863758,67.98581973242506,0.000753979810236718,0.0034951339230398486,0.004249113733276566,0.17744401716809566
