model,dataset,regime,snr_low10,snr_full_mean,auroc_low10,auroc_full_mean
LLaMA-3.1-8B,GSM8K,unreliable,0.2655156747755928,0.15438576602233445,0.6336485588253067,0.6375498519548009
LLaMA-3.1-8B,MATH500,unreliable,0.43227532373619554,0.36988986277415065,0.6360527601367856,0.6550352432130644
LLaMA-3.1-8B,SVAMP,unreliable,0.2957833762078077,0.17013519406870678,0.6410036797360742,0.6617814998096688
Phi-4,AQuA,deceptive,-0.5796712117206808,-0.8004130960287257,0.25104639772018883,0.23181049069373946
Phi-4,CommonsenseQA,deceptive,2.160739412864429,4.272345738341059,0.897022184368259,0.9724466484649245
Phi-4,GPQA,deceptive,0.4039718657379076,1.7114706416427483,0.5766320563313043,0.7989974937343358
Phi-4,GSM8K,deceptive,-0.21116616421574394,-0.20428792657453562,0.40718790971262536,0.4331791927996882
Phi-4,MATH500,deceptive,-0.43178332501922345,-0.5567468064476919,0.3366172126745435,0.329719387755102
Phi-4,SVAMP,deceptive,-0.29289217836453646,-0.31941151679856017,0.3679700581109032,0.33159797948530345
Phi-4-Reas.,AQuA,deceptive,0.19722838488898387,0.2523734164271668,0.5399668536460989,0.5686511983681795
Phi-4-Reas.,CommonsenseQA,deceptive,1.7368442514160027,2.064806930067845,0.8986984190975321,0.9021539436173582
Phi-4-Reas.,GPQA,deceptive,0.19793092632178916,0.39620703162153886,0.5906526179545777,0.6122312779339495
Phi-4-Reas.,GSM8K,deceptive,0.10286257076075973,0.11284070356155243,0.5921418461227379,0.5442826812253564
Phi-4-Reas.,MATH500,deceptive,-0.4081514874215148,-0.24651643037203153,0.435400944105355,0.44418052256532065
Phi-4-Reas.,SVAMP,deceptive,-0.24667454252775806,-0.5965545428146632,0.509212318401937,0.3809965193704601
Qwen2.5-7B,AQuA,deceptive,0.37504537979054514,0.27437787002326786,0.636729100045683,0.638282320694381
Qwen2.5-7B,CommonsenseQA,deceptive,0.12906718536137332,0.16638772973714744,0.5952168384600817,0.6112373634896158
Qwen2.5-7B,GPQA,deceptive,0.1979385167265209,0.16909577684879684,0.5563442768411713,0.5538987599281494
Qwen2.5-7B,GSM8K,deceptive,0.04340543625414214,0.07982874182376502,0.5414651098137336,0.5388240200166805
Qwen2.5-7B,MATH500,deceptive,0.3232307228075182,0.21569450806165522,0.600475783618971,0.5947462766581226
Qwen2.5-7B,SVAMP,deceptive,-0.10420708221572304,-0.08551394327478523,0.5004841079059829,0.4992487980769231
Qwen2.5-Math,AQuA,unreliable,-0.707640916922801,-0.6728503863699086,0.3152402402402402,0.3181681681681682
Qwen2.5-Math,CommonsenseQA,unreliable,0.03748998828817556,0.02424484092816478,0.5191703127532005,0.5138848376816291
Qwen2.5-Math,GPQA,unreliable,-0.47883733931623923,0.04522031524087096,0.4638034153338204,0.4641822954723823
Qwen2.5-Math,GSM8K,unreliable,0.17360932589361114,0.2013302764922256,0.5547812142038946,0.5493516609392898
Qwen2.5-Math,MATH500,unreliable,0.05617878084761819,0.03295395347746184,0.531895777178796,0.5109026193931854
Qwen2.5-Math,SVAMP,unreliable,0.05326852048638285,0.2602640781752143,0.5660553533805784,0.5882493775138862
Qwen3-4B,AQuA,reliable,-0.10880811732027618,-0.09799247023021605,0.43321917808219174,0.45833333333333337
Qwen3-4B,CommonsenseQA,reliable,0.42877109584921136,0.6656776064989086,0.5996016819281382,0.6887673037222792
Qwen3-4B,GPQA,reliable,-0.10951393157225116,-0.08058648265397904,0.450226197177226,0.47203285592177957
Qwen3-4B,GSM8K,reliable,0.5607003357538572,0.6127145856555137,0.6493657408467475,0.6718596157809174
Qwen3-4B,MATH500,reliable,0.04285217434498841,0.05144364773555071,0.4854157666522665,0.5097041552664843
Qwen3-4B,SVAMP,reliable,0.6215892648773528,0.6706750055698827,0.6670041417395305,0.6836876821598405
